; Ubuntu 9.10 gcalctool breakpoint file

8056990,mp_logarithm
805cdd0,calc_sln
805e960,accuracy_default_cb
805a6e0,_mp_equation_realloc
80620f0,ui_set_accuracy
8055060,mp_multiply
805a450,_mp_equation_set_in
80561f0,mp_epowy
8056d20,mp_ones_complement
80597b0,mp_cos
80522d0,display_surround
805a420,_mp_equation_get_leng
805d190,calc_pmt
805e920,precision_dialog_activate_cb
805ea50,undo_cb
805e9f0,shift_cb
805db30,edit_constants_cb
80613d0,ui_set_statusbar
805a5e0,_mp_equation_lex_destroy
